"","dow","temp","BAR_OR_TAVERN"
"325","Thursday",43.3,0.0857142857142857
"326","Friday",48.1,0.114285714285714
"327","Saturday",40.4,0.514285714285714
"328","Sunday",50.2,0.342857142857143
"329","Monday",45.4,0
"330","Tuesday",46.5,0
"331","Wednesday",48.5,0.0571428571428571
"332","Thursday",47.2,0.0571428571428571
"333","Friday",40.5,0.2
"334","Saturday",35,0.4
"335","Sunday",36.7,0.285714285714286
"336","Monday",44.8,0.0571428571428571
"337","Tuesday",39.9,0.114285714285714
"338","Wednesday",36.6,0.0857142857142857
"339","Thursday",39.6,0.0285714285714286
"340","Friday",38.3,0.171428571428571
"341","Saturday",36.4,0.2
"342","Sunday",31.8,0.257142857142857
"343","Monday",48.2,0.0571428571428571
"344","Tuesday",53.1,0.0571428571428571
"345","Wednesday",39.9,0.0285714285714286
"346","Thursday",31.1,0.171428571428571
"347","Friday",38.7,0.371428571428571
"348","Saturday",52.7,0.457142857142857
"349","Sunday",47.7,0.428571428571429
"350","Monday",35.4,0.0857142857142857
"351","Tuesday",37.5,0.0571428571428571
"352","Wednesday",39.3,0.142857142857143
"353","Thursday",24.2,0.0857142857142857
"354","Friday",24.2,0.228571428571429
"355","Saturday",33.3,0.4
"356","Sunday",41.3,0.428571428571429
"357","Monday",44.3,0.142857142857143
"358","Tuesday",42.8,0.0571428571428571
"359","Wednesday",35.6,0.0285714285714286
"360","Thursday",35.9,0
"361","Friday",40.1,0.0857142857142857
"362","Saturday",44.5,0.171428571428571
"363","Sunday",38.4,0.285714285714286
"364","Monday",39.6,0.257142857142857
"365","Tuesday",44.7,0.2
"732","Friday",39.6,0.181818181818182
"733","Saturday",47.4,0.0454545454545455
"734","Sunday",41.1,0
"735","Monday",41.2,0
"736","Tuesday",38.7,0
"737","Wednesday",37.4,0
"738","Thursday",36.5,0.0454545454545455
"739","Friday",33.3,0.0909090909090909
"740","Saturday",32.9,0.0454545454545455
"741","Sunday",35.6,0
"742","Monday",32.6,0
"743","Tuesday",37,0
"744","Wednesday",35.8,0
"745","Thursday",41.3,0
"746","Friday",41.3,0.0909090909090909
"747","Saturday",45.4,0
"748","Sunday",40.8,0.0909090909090909
"749","Monday",42.6,0
"750","Tuesday",35.8,0
"751","Wednesday",34.7,0
"752","Thursday",30.9,0
"753","Friday",36.5,0.0909090909090909
"754","Saturday",32.2,0.0909090909090909
"755","Sunday",24.7,0.0909090909090909
"756","Monday",26.6,0
"757","Tuesday",31.9,0
"758","Wednesday",34.6,0
"759","Thursday",35.3,0
"760","Friday",18.1,0
"761","Saturday",19.2,0
"762","Sunday",22.2,0.0909090909090909
"763","Monday",33.7,0
"764","Tuesday",41.8,0
"765","Wednesday",34.1,0.0909090909090909
"766","Thursday",33.3,0.0454545454545455
"767","Friday",37.2,0.0454545454545455
"768","Saturday",38.9,0.0454545454545455
"769","Sunday",35.1,0.0909090909090909
"770","Monday",27.6,0
"771","Tuesday",26.1,0.0454545454545455
"772","Wednesday",29.4,0
"773","Thursday",26.2,0.0454545454545455
"774","Friday",22.5,0
"775","Saturday",27.6,0.0909090909090909
"776","Sunday",34,0.0909090909090909
"777","Monday",37,0
"778","Tuesday",42.7,0.0454545454545455
"779","Wednesday",32.6,0
"780","Thursday",29.2,0
"781","Friday",33.1,0.0909090909090909
"782","Saturday",31.5,0.0454545454545455
"783","Sunday",26.8,0.0454545454545455
"784","Monday",32.4,0.136363636363636
"785","Tuesday",38.5,0
"786","Wednesday",39.9,0.0454545454545455
"787","Thursday",42.9,0.0909090909090909
"788","Friday",34.7,0.0454545454545455
"789","Saturday",39.1,0
"790","Sunday",41.6,0.0454545454545455
"791","Monday",43.5,0
"792","Tuesday",26.1,0.0454545454545455
"793","Wednesday",38.2,0
"794","Thursday",39.3,0.0454545454545455
"795","Friday",30.2,0.0909090909090909
"796","Saturday",31,0.136363636363636
"797","Sunday",28.7,0.0454545454545455
"798","Monday",32.6,0
"799","Tuesday",42.1,0
"800","Wednesday",39.7,0.0909090909090909
"801","Thursday",45.1,0
"802","Friday",47.8,0
"803","Saturday",39.1,0.227272727272727
"804","Sunday",39.8,0.136363636363636
"805","Monday",22.1,0.0909090909090909
"806","Tuesday",28.4,0.181818181818182
"807","Wednesday",38.5,0.0909090909090909
"808","Thursday",41.4,0.0454545454545455
"809","Friday",33.6,0
"810","Saturday",37.9,0.136363636363636
"811","Sunday",40.8,0.0454545454545455
"812","Monday",46.2,0.0454545454545455
"813","Tuesday",51.1,0
"814","Wednesday",47.2,0.0454545454545455
"815","Thursday",51.9,0.0454545454545455
"816","Friday",51.3,0
"817","Saturday",49.9,0.136363636363636
"818","Sunday",48.1,0.227272727272727
"819","Monday",47.9,0
"820","Tuesday",43.7,0.0454545454545455
"821","Wednesday",51.3,0
"822","Thursday",48.2,0.0454545454545455
"823","Friday",37.1,0.136363636363636
"824","Saturday",36.6,0.272727272727273
"825","Sunday",46.3,0.0454545454545455
"826","Monday",45.9,0.0454545454545455
"827","Tuesday",47.5,0
"828","Wednesday",50.2,0.0454545454545455
"829","Thursday",47,0.0454545454545455
"830","Friday",47.6,0.0909090909090909
"831","Saturday",44.4,0.181818181818182
"832","Sunday",48.2,0.0454545454545455
"833","Monday",45.3,0.0454545454545455
"834","Tuesday",45.5,0.0454545454545455
"835","Wednesday",46.1,0
"836","Thursday",43.8,0.0454545454545455
"837","Friday",43.8,0
"838","Saturday",42,0.227272727272727
"839","Sunday",47.2,0.0454545454545455
"840","Monday",50.9,0
"841","Tuesday",50.3,0.0454545454545455
"842","Wednesday",53.4,0
"843","Thursday",43,0
"844","Friday",45.1,0.136363636363636
"845","Saturday",51.1,0.181818181818182
