"","dow","temp","TOTAL_CRIMES"
"236","Saturday",68.3,0.942687747035573
"237","Sunday",65.5,0.841897233201581
"238","Monday",64.3,0.768774703557312
"239","Tuesday",60.4,0.772727272727273
"240","Wednesday",65.4,0.814229249011858
"241","Thursday",71,0.853754940711462
"242","Friday",68,0.841897233201581
"243","Saturday",70.3,0.857707509881423
"245","Monday",64.9,0.861660079051383
"246","Tuesday",70,0.6699604743083
"247","Wednesday",66.6,0.675889328063241
"248","Thursday",67.7,0.608695652173913
"249","Friday",59.3,0.853754940711462
"250","Saturday",62.1,0.782608695652174
"251","Sunday",66,0.74901185770751
"252","Monday",63.9,0.863636363636364
"253","Tuesday",62.8,0.74901185770751
"254","Wednesday",68.3,0.808300395256917
"255","Thursday",65.4,0.877470355731225
"256","Friday",59.6,0.940711462450593
"257","Saturday",60.7,0.83596837944664
"258","Sunday",68.2,0.877470355731225
"259","Monday",65.4,0.91897233201581
"260","Tuesday",61.5,0.869565217391304
"261","Wednesday",56,0.822134387351779
"262","Thursday",57.3,0.885375494071146
"263","Friday",58.8,0.938735177865613
"264","Saturday",67,0.822134387351779
"265","Sunday",64.6,0.622529644268775
"266","Monday",68.5,0.839920948616601
"267","Tuesday",68.6,0.822134387351779
"268","Wednesday",63.8,0.735177865612648
"269","Thursday",64.7,0.727272727272727
"270","Friday",63.5,0.646245059288538
"271","Saturday",63.8,0.709486166007905
"272","Sunday",66.9,0.735177865612648
"273","Monday",56.3,0.814229249011858
"275","Wednesday",67.6,0.768774703557312
"276","Thursday",55.3,0.768774703557312
"277","Friday",57.4,0.741106719367589
"278","Saturday",51.9,0.754940711462451
"279","Sunday",52,0.650197628458498
"280","Monday",66.9,0.800395256916996
"281","Tuesday",61.3,0.733201581027668
"282","Wednesday",56.9,0.776679841897233
"283","Thursday",54.5,0.604743083003953
"284","Friday",55.5,0.764822134387352
"285","Saturday",56.2,0.772727272727273
"286","Sunday",57.6,0.703557312252964
"287","Monday",57.7,0.681818181818182
"288","Tuesday",56.7,0.796442687747036
"289","Wednesday",51.5,0.790513833992095
"290","Thursday",58.2,0.662055335968379
"291","Friday",55,0.717391304347826
"292","Saturday",50.5,0.745059288537549
"293","Sunday",49.3,0.74901185770751
"294","Monday",55.2,0.733201581027668
"295","Tuesday",56.3,0.630434782608696
"296","Wednesday",61.4,0.709486166007905
"297","Thursday",55.5,0.741106719367589
"298","Friday",55.9,0.810276679841897
"299","Saturday",55.2,0.430830039525692
"300","Sunday",53.4,0.711462450592885
"301","Monday",56,0.630434782608696
"302","Tuesday",55.1,0.58102766798419
"303","Wednesday",57.8,0.468379446640316
"304","Thursday",62.5,0.490118577075099
"306","Saturday",47,0.638339920948617
"307","Sunday",51,0.75098814229249
"308","Monday",48.1,0.654150197628458
"309","Tuesday",56.6,0.58300395256917
"310","Wednesday",51.5,0.632411067193676
"311","Thursday",51.4,0.638339920948617
"312","Friday",42.7,0.6699604743083
"313","Saturday",35.3,0.729249011857708
"314","Sunday",48.3,0.614624505928854
"315","Monday",51.5,0.302371541501976
"316","Tuesday",53.9,0.407114624505929
"317","Wednesday",29,0.468379446640316
"318","Thursday",35,0.468379446640316
"319","Friday",49.3,0.824110671936759
"320","Saturday",39.7,0.638339920948617
"321","Sunday",41.5,0.713438735177866
"322","Monday",48.4,0.675889328063241
"323","Tuesday",46.5,0.683794466403162
"324","Wednesday",44.8,0.766798418972332
"325","Thursday",43.3,0.634387351778656
"326","Friday",48.1,0.762845849802372
"327","Saturday",40.4,0.713438735177866
"328","Sunday",50.2,0.705533596837945
"329","Monday",45.4,0.697628458498024
"330","Tuesday",46.5,0.66600790513834
"331","Wednesday",48.5,0.58498023715415
"332","Thursday",47.2,0.3300395256917
"333","Friday",40.5,0.608695652173913
"334","Saturday",35,0.636363636363636
"335","Sunday",36.7,0.756916996047431
"336","Monday",44.8,0.727272727272727
"337","Tuesday",39.9,0.689723320158103
"338","Wednesday",36.6,0.800395256916996
"339","Thursday",39.6,0.709486166007905
"340","Friday",38.3,0.780632411067194
"341","Saturday",36.4,0.709486166007905
"342","Sunday",31.8,0.652173913043478
"343","Monday",48.2,0.719367588932806
"344","Tuesday",53.1,0.660079051383399
"345","Wednesday",39.9,0.523715415019763
"346","Thursday",31.1,0.622529644268775
"347","Friday",38.7,0.772727272727273
"348","Saturday",52.7,0.673913043478261
"349","Sunday",47.7,0.620553359683794
"350","Monday",35.4,0.559288537549407
"351","Tuesday",37.5,0.650197628458498
"352","Wednesday",39.3,0.616600790513834
"353","Thursday",24.2,0.675889328063241
"354","Friday",24.2,0.760869565217391
"355","Saturday",33.3,0.802371541501976
"356","Sunday",41.3,0.671936758893281
"357","Monday",44.3,0.691699604743083
"358","Tuesday",42.8,0.559288537549407
"359","Wednesday",35.6,0.33596837944664
"360","Thursday",35.9,0.531620553359684
"361","Friday",40.1,0.695652173913043
"362","Saturday",44.5,0.588932806324111
"363","Sunday",38.4,0.687747035573123
"364","Monday",39.6,0.543478260869565
"365","Tuesday",44.7,0.411067193675889
"732","Friday",39.6,0.83010752688172
"733","Saturday",47.4,0.245161290322581
"734","Sunday",41.1,0.387096774193548
"735","Monday",41.2,0.421505376344086
"736","Tuesday",38.7,0.440860215053763
"737","Wednesday",37.4,0.318279569892473
"738","Thursday",36.5,0.520430107526882
"739","Friday",33.3,0.544086021505376
"740","Saturday",32.9,0.341935483870968
"741","Sunday",35.6,0.479569892473118
"742","Monday",32.6,0.331182795698925
"743","Tuesday",37,0.496774193548387
"744","Wednesday",35.8,0.387096774193548
"745","Thursday",41.3,0.427956989247312
"746","Friday",41.3,0.531182795698925
"747","Saturday",45.4,0.32258064516129
"748","Sunday",40.8,0.436559139784946
"749","Monday",42.6,0.296774193548387
"750","Tuesday",35.8,0.402150537634409
"751","Wednesday",34.7,0.432258064516129
"752","Thursday",30.9,0.548387096774194
