"","dow_num","TOTAL_CRIMES"
"838",6,0.387096774193548
"839",7,0.253763440860215
"840",1,0.234408602150538
"841",2,0.223655913978495
"842",3,0.260215053763441
"843",4,0.335483870967742
"844",5,0.380645161290323
"845",6,0.43010752688172
"846",7,0.356989247311828
"847",1,0.419354838709677
"848",2,0.587096774193548
"849",3,0.41505376344086
"850",4,0.249462365591398
"851",5,0.567741935483871
"852",6,0.765591397849462
"853",7,0.612903225806452
"854",1,0.468817204301075
"855",2,0.305376344086021
"856",3,0.518279569892473
"857",4,0.354838709677419
"858",5,0.387096774193548
"859",6,0.447311827956989
"860",7,0.410752688172043
"861",1,0.410752688172043
"862",2,0.425806451612903
"863",3,0.331182795698925
"864",4,0.443010752688172
"865",5,0.604301075268817
"866",6,0.582795698924731
"867",7,0.488172043010753
"868",1,0.561290322580645
"869",2,0.468817204301075
"870",3,0.535483870967742
"871",4,0.509677419354839
"872",5,0.617204301075269
"873",6,0.716129032258065
"874",7,0.675268817204301
"875",1,0.696774193548387
"876",2,0.647311827956989
"877",3,0.501075268817204
"878",4,0.365591397849462
"879",5,0.361290322580645
"880",6,0.496774193548387
"881",7,0.541935483870968
"882",1,0.451612903225806
"883",2,0.720430107526882
"884",3,0.554838709677419
"885",4,0.619354838709677
"886",5,0.56989247311828
"887",6,0.591397849462366
"888",7,0.817204301075269
"889",1,0.675268817204301
"890",2,0.733333333333333
"891",3,0.58494623655914
"892",4,0.619354838709677
"893",5,0.703225806451613
"894",6,0.572043010752688
"895",7,0.718279569892473
"896",1,0.670967741935484
"897",2,0.589247311827957
"898",3,0.546236559139785
"899",4,0.473118279569892
"900",5,0.653763440860215
"901",6,0.810752688172043
"902",7,0.78494623655914
"903",1,0.563440860215054
"904",2,0.640860215053763
"905",3,0.533333333333333
"906",4,0.52258064516129
"907",5,0.445161290322581
"908",6,0.49247311827957
"909",7,0.754838709677419
"910",1,0.662365591397849
"911",2,0.427956989247312
"912",3,0.524731182795699
"913",4,0.754838709677419
"914",5,0.666666666666667
"915",6,0.709677419354839
"916",7,0.756989247311828
"917",1,0.724731182795699
"918",2,0.47741935483871
"919",3,0.563440860215054
"920",4,0.524731182795699
"921",5,0.587096774193548
"922",6,0.604301075268817
"923",7,0.425806451612903
"924",1,0.520430107526882
"925",2,0.6
"926",3,0.49247311827957
"927",4,0.412903225806452
"928",5,0.587096774193548
"929",6,0.612903225806452
"930",7,0.550537634408602
"931",1,0.494623655913978
"932",2,0.520430107526882
"933",3,0.505376344086022
"934",4,0.572043010752688
"935",5,0.632258064516129
"936",6,0.587096774193548
"937",7,0.655913978494624
"938",1,0.636559139784946
