date,year,month,day,dow,dow_num,TOTAL_CRIMES,ABANDONED_BUILDING,AIRPORT_OR_AIRCRAFT,ALLEY,ANIMAL_HOSPITAL,APARTMENT,APPLIANCE_STORE,ATHLETIC_CLUB,ATM_AUTOMATIC_TELLER_MACHINE,AUTO,AUTO_BOAT_RV_DEALERSHIP,BANK,BAR_OR_TAVERN,HAIRDRESSERS,BOAT_WATERCRAFT,BOWLING_ALLEY,BRIDGE,CAR_WASH,CEMETARY,CHIAGO_HOUSING_AUTHORIY_PROPERTIES,PLACE_OF_WORSHIP,CLEANING_STORE,CLUB,COIN_OPERATED_MACHINE,COLLEGE_UNIVERSITY,COMMERCIAL_BUSINESS_OFFICE,CONSTRUCTION_SITE,CONVENIENCE_STORE,CREDIT_UNION,CTA_TRAIN_CRIME,CTA_BUS_CRIME,CURRENCY_EXCHANGE,DAY_CARE_CENTER,DEPARTMENT_STORE,DRIVEWAY,DRUG_STORE,FACTORY_BUILDING,FARM,FEDERAL_BUILDING,FIRE_STATION,FOREST_PRESERVE,GANGWAY,GARAGE,GAS_STATION,GOVERNMENT_BUILDING,GROCERY_FOOD_STORE,HALLWAY,HIGHWAY_EXPRESSWAY,HOSPITAL,HOTEL_MOTEL,HOUSE,JAIL,KENNEL,LAKE,LIBRARY,LIQUOR_STORE,MEDICAL_DENTAL_OFFICE,CINEMA,NEWSSTAND,CARE_HOME,OFFICE,OTHER,PARK_PROPERTY,PARKING_LOT,PAWN_SHOP,POLICE_FACILITY_VEHICLE_PARKING_LOT,POOL_ROOM,PORCH,RESIDENCE,RESTAURANT,RETAIL_STORE,SAVINGS_AND_LOAN,PRIVATE_SCHOOL,PUBLIC_SCHOOL,SIDEWALK,SMALL_RETAIL_STORE,SPORTS_ARENA_STADIUM,STAIRWELL,STREET,TAVERN_PUB,TAXI_CAB,TRUCKING_TERMINAL,VACANT_LOT,VEHICLE_DELIVERY_TRUCK,VEHICLE_RIDE_SERVICE_EG_UBER_LYFT,VEHICLE_NON_COMMERCIAL,VEHICLE_COMMERCIAL,VESTIBULE,WAREHOUSE,YARD,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED_CARRY_LICENSE_VIOLATION,CRIM_SEXUAL_ASSAULT,CRIMINAL_DAMAGE,CRIMINAL_SEXUAL_ASSAULT,CRIMINAL_TRESPASS,DECEPTIVE_PRACTICE,HOMICIDE,HUMAN_TRAFFICKING,INTERFERENCE_WITH_PUBLIC_OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR_LAW_VIOLATION,MOTOR_VEHICLE_THEFT,NARCOTICS,NON_CRIMINAL,OBSCENITY,OFFENSE_INVOLVING_CHILDREN,OTHER_NARCOTIC_VIOLATION,OTHER_OFFENSE,PROSTITUTION,PUBLIC_INDECENCY,PUBLIC_PEACE_VIOLATION,RITUALISM,ROBBERY,SEX_OFFENSE,STALKING,THEFT,WEAPONS_VIOLATION,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2019-01-21,2019,1,21,Monday,1,556,0,1,12,1,80,0,1,2,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,2,1,1,0,10,2,2,0,18,0,5,1,0,0,0,0,0,0,12,0,3,0,0,3,4,0,0,0,0,0,0,0,0,0,4,0,37,0,16,0,5,0,0,115,25,0,0,0,0,31,19,0,0,117,1,0,0,1,0,1,13,0,0,0,0,1,42,78,22,1,3,55,2,17,37,0,0,5,1,0,0,23,42,0,0,3,0,49,0,0,2,0,24,3,0,136,10,13.7,6.3,1003.4,7.0,17.0,21.0,33.0,28.9,6.1,1.5,999.9,0
2019-01-22,2019,1,22,Tuesday,2,626,0,3,10,1,97,0,1,1,0,0,2,2,1,0,0,0,1,0,3,1,0,0,0,0,5,1,4,1,13,5,0,0,16,3,3,0,0,0,0,0,0,0,9,0,25,0,1,3,6,0,0,0,0,0,0,1,1,0,2,0,28,0,14,0,2,0,0,140,11,0,0,2,27,33,20,1,0,112,0,1,0,1,1,0,9,0,0,0,0,1,49,111,31,0,3,40,4,24,56,0,0,3,0,1,1,20,45,0,1,9,0,42,5,0,2,0,19,2,0,149,7,15.8,-2.3,1026.7,10.0,17.6,27.0,36.9,28.0,6.1,0.0,999.9,0
2019-01-23,2019,1,23,Wednesday,3,662,12,1,6,0,82,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,4,1,21,6,0,0,13,0,3,0,0,0,0,0,0,0,6,2,6,0,0,3,6,0,0,0,0,1,0,2,0,0,1,0,16,2,21,0,8,0,0,139,18,0,0,5,16,61,23,0,0,143,4,0,0,1,1,1,11,1,0,1,0,0,46,97,28,0,3,59,0,21,35,0,0,4,2,0,0,19,81,0,0,4,0,44,0,0,2,0,24,4,2,177,10,31.6,23.8,1029.6,9.4,8.3,13.0,999.9,42.1,8.1,0.0,999.9,0
2019-01-24,2019,1,24,Thursday,4,607,0,1,6,0,96,0,2,1,0,1,1,5,1,0,0,0,0,0,3,0,0,0,1,3,6,1,12,0,16,6,1,0,9,0,3,0,0,0,1,0,0,0,8,0,10,0,0,6,7,0,0,0,0,0,0,1,0,1,1,0,25,0,22,1,6,0,0,105,16,0,0,5,25,36,15,1,0,115,2,2,0,0,0,1,15,1,0,2,0,1,44,110,20,0,5,54,2,21,45,0,0,3,2,1,1,21,41,0,0,9,0,44,1,0,6,0,21,5,1,137,12,46.5,44.7,1012.6,5.2,19.2,31.1,42.0,52.0,42.8,0.0,999.9,0
2019-01-25,2019,1,25,Friday,5,586,1,5,8,0,109,0,1,1,0,1,3,6,0,0,0,0,0,0,2,2,0,0,0,1,8,0,9,0,10,2,0,2,12,1,4,0,0,0,0,0,0,0,5,0,4,0,0,5,3,0,0,0,0,1,0,1,0,0,0,0,29,1,17,0,1,1,0,124,14,0,0,0,14,38,22,0,0,90,4,0,0,1,1,0,18,1,0,1,0,0,35,109,18,2,3,39,3,17,50,0,0,2,1,0,2,17,50,0,1,7,0,47,3,0,4,0,18,2,0,140,15,37.0,28.5,1010.5,8.9,14.0,26.0,35.0,52.0,30.0,0.28,999.9,0
2019-01-26,2019,1,26,Saturday,6,532,0,0,7,0,99,0,1,1,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,0,4,0,6,0,9,2,1,0,6,1,5,0,0,0,0,0,0,0,8,0,6,0,0,3,4,0,0,0,0,0,0,0,1,0,2,0,18,0,15,0,1,0,0,110,17,0,0,2,0,30,13,1,0,125,3,1,0,0,0,1,12,1,0,1,0,0,34,106,19,0,4,57,1,13,32,0,0,5,0,0,2,31,40,0,0,6,0,37,0,0,1,0,14,1,1,117,11,30.5,15.4,1022.6,10.0,7.9,15.9,21.0,37.9,21.0,0.0,999.9,0
2019-01-27,2019,1,27,Sunday,7,524,0,2,9,0,101,0,2,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,5,0,6,0,9,3,0,0,11,0,3,0,0,0,0,0,0,0,5,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,21,0,12,0,3,0,0,105,25,0,0,0,3,29,15,1,0,105,2,0,0,0,1,0,11,2,0,1,0,0,63,103,19,0,1,28,1,9,35,1,0,0,2,0,0,22,38,0,0,5,0,40,2,0,3,0,15,3,1,119,14,35.1,28.2,1021.8,9.9,7.8,17.1,999.9,44.1,21.0,0.0,999.9,0
2019-01-28,2019,1,28,Monday,1,521,0,5,5,0,84,0,0,2,1,0,2,3,0,0,0,0,0,0,4,0,0,0,0,2,3,1,5,0,21,4,0,0,12,2,2,0,0,0,0,0,0,0,4,4,6,0,1,6,2,0,0,0,0,2,0,1,0,0,4,0,18,0,19,0,0,1,0,113,10,0,0,2,16,30,16,0,0,96,2,0,0,0,0,0,6,0,0,1,0,0,50,109,20,0,0,39,1,10,48,0,0,1,0,1,0,19,36,0,0,4,0,51,1,0,4,0,23,2,0,94,6,35.7,27.3,1016.0,9.8,11.3,19.0,26.0,44.1,28.9,0.0,999.9,0
2019-01-29,2019,1,29,Tuesday,2,494,0,1,5,0,75,1,2,0,0,0,2,3,2,0,0,0,0,0,3,0,0,0,0,0,6,1,6,0,12,3,2,1,12,1,0,0,0,0,0,0,0,0,8,1,11,0,0,4,2,0,0,0,0,0,0,1,1,0,3,0,18,1,15,0,5,0,0,108,12,0,0,1,6,22,18,0,0,106,0,1,0,1,0,0,8,0,0,1,0,0,50,84,14,1,2,35,1,11,38,0,0,1,0,0,0,29,35,0,0,7,0,33,0,0,3,0,9,4,0,128,8,33.8,23.7,1016.7,10.0,9.6,14.0,999.9,42.1,30.0,0.0,999.9,0
2019-01-30,2019,1,30,Wednesday,3,341,0,3,3,0,82,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,7,1,0,0,5,3,2,0,0,0,0,0,0,0,6,0,4,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,16,0,11,0,1,0,0,81,7,0,0,0,0,13,10,1,0,55,0,0,0,0,0,0,8,0,0,0,0,0,26,83,15,2,4,25,0,6,28,0,0,1,0,0,0,25,9,0,0,1,0,36,0,0,0,0,10,4,1,61,4,36.8,29.5,1009.8,8.8,15.1,28.0,41.0,42.1,30.0,0.39,999.9,0
