"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Friday","Monday","Saturday","Sunday","Thusday","Tuesday","Wednesday","year","temp","TOTAL_CRIMES","BAR_TAVERN","BATTERY"
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,52,0.756916996047431,0.0571428571428571,0.220689655172414
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,47.1,0.725296442687747,0.0857142857142857,0.441379310344828
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,47.5,0.693675889328063,0.0571428571428571,0.289655172413793
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,43.7,0.567193675889328,0,0.303448275862069
"108",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,53.7,0.610671936758893,0.142857142857143,0.213793103448276
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,54.5,0.768774703557312,0.485714285714286,0.544827586206897
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,52.2,0.600790513833992,0.228571428571429,0.710344827586207
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,52.1,0.782608695652174,0.142857142857143,0.427586206896552
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,48.8,0.794466403162055,0.0285714285714286,0.351724137931034
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019,51.5,0.713438735177866,0.0857142857142857,0.275862068965517
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,47.7,0.841897233201581,0,0.462068965517241
"115",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,46.8,0.83201581027668,0.257142857142857,0.358620689655172
"116",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,52.9,0.569169960474308,0.114285714285714,0.4
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,46.9,0.523715415019763,0.314285714285714,0.441379310344828
"118",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,47.8,0.743083003952569,0.0857142857142857,0.275862068965517
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,45.6,0.766798418972332,0.0857142857142857,0.393103448275862
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,46.9,0.940711462450593,0.0285714285714286,0.351724137931034
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2019,49.4,0.707509881422925,0.0571428571428571,0.289655172413793
"122",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019,47.3,0.889328063241107,0.2,0.36551724137931
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2019,51.3,0.707509881422925,0.371428571428571,0.544827586206897
"124",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2019,46.9,0.865612648221344,0.428571428571429,0.758620689655172
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2019,48.1,0.891304347826087,0.0571428571428571,0.510344827586207
"126",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019,48.3,0.709486166007905,0.114285714285714,0.386206896551724
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,53,0.826086956521739,0.142857142857143,0.620689655172414
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2019,47.7,0.782608695652174,0.0571428571428571,0.413793103448276
"129",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019,48.4,0.903162055335968,0.142857142857143,0.56551724137931
"130",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2019,56.8,0.701581027667984,0.257142857142857,0.351724137931034
"131",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2019,45.7,0.573122529644269,0.4,0.420689655172414
"132",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2019,46.1,0.887351778656126,0.142857142857143,0.551724137931034
"133",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2019,44.9,0.74901185770751,0,0.468965517241379
"134",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2019,48.5,0.837944664031621,0.0285714285714286,0.462068965517241
"135",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2019,53.3,0.788537549407115,0.0857142857142857,0.379310344827586
"136",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2019,52.3,0.857707509881423,0.0571428571428571,0.524137931034483
"137",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2019,56.7,0.822134387351779,0.4,0.641379310344828
"138",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2019,52,0.857707509881423,0.371428571428571,0.827586206896552
