"","dow","BAR_OR_TAVERN"
"846","Sunday",0.0454545454545455
"847","Monday",0.0454545454545455
"848","Tuesday",0.0454545454545455
"849","Wednesday",0.0909090909090909
"850","Thursday",0.0454545454545455
"851","Friday",0.318181818181818
"852","Saturday",0.227272727272727
"853","Sunday",0.0909090909090909
"854","Monday",0
"855","Tuesday",0.0454545454545455
"856","Wednesday",0.0454545454545455
"857","Thursday",0
"858","Friday",0.136363636363636
"859","Saturday",0.0909090909090909
"860","Sunday",0.0454545454545455
"861","Monday",0.0454545454545455
"862","Tuesday",0.0909090909090909
"863","Wednesday",0.0454545454545455
"864","Thursday",0.227272727272727
"865","Friday",0.0909090909090909
"866","Saturday",0.181818181818182
"867","Sunday",0.318181818181818
"868","Monday",0.0454545454545455
"869","Tuesday",0.0909090909090909
"870","Wednesday",0
"871","Thursday",0.0454545454545455
"872","Friday",0.0909090909090909
"873","Saturday",0.0454545454545455
"874","Sunday",0.409090909090909
"875","Monday",0
"876","Tuesday",0
"877","Wednesday",0.0454545454545455
"878","Thursday",0.227272727272727
"879","Friday",0.181818181818182
"880","Saturday",0.181818181818182
"881","Sunday",0.363636363636364
"882","Monday",0.318181818181818
"883","Tuesday",0.0454545454545455
"884","Wednesday",0.0909090909090909
"885","Thursday",0
"886","Friday",0.136363636363636
"887","Saturday",0.227272727272727
"888","Sunday",0.181818181818182
"889","Monday",0.0909090909090909
"890","Tuesday",0.0454545454545455
"891","Wednesday",0.0909090909090909
"892","Thursday",0
"893","Friday",0.181818181818182
"894","Saturday",0.272727272727273
"895","Sunday",0.227272727272727
"896","Monday",0.136363636363636
"897","Tuesday",0.0454545454545455
"898","Wednesday",0
"899","Thursday",0.0909090909090909
"900","Friday",0.181818181818182
"901","Saturday",0.318181818181818
"902","Sunday",0.363636363636364
"903","Monday",0.136363636363636
"904","Tuesday",0.0454545454545455
"905","Wednesday",0.181818181818182
"906","Thursday",0.0454545454545455
"907","Friday",0.0909090909090909
"908","Saturday",0.772727272727273
"909","Sunday",0.5
"910","Monday",0.0454545454545455
"911","Tuesday",0
"912","Wednesday",0.0909090909090909
"913","Thursday",0.0454545454545455
"914","Friday",0.272727272727273
"915","Saturday",0.318181818181818
"916","Sunday",0.181818181818182
"917","Monday",0
"918","Tuesday",0
"919","Wednesday",0.0909090909090909
"920","Thursday",0.136363636363636
