"","dow_num","BATTERY"
"164",4,0.386206896551724
"165",5,0.606896551724138
"166",6,0.655172413793103
"167",7,0.744827586206897
"168",1,0.420689655172414
"169",2,0.455172413793103
"170",3,0.420689655172414
"171",4,0.289655172413793
"172",5,0.344827586206897
"173",6,0.593103448275862
"174",7,0.758620689655172
"175",1,0.524137931034483
"176",2,0.310344827586207
"177",3,0.468965517241379
"178",4,0.386206896551724
"179",5,0.558620689655172
"181",7,1
"183",2,0.420689655172414
"184",3,0.344827586206897
"185",4,0.924137931034483
"187",6,0.731034482758621
"188",7,0.882758620689655
"189",1,0.413793103448276
"190",2,0.420689655172414
"191",3,0.503448275862069
"192",4,0.593103448275862
"193",5,0.468965517241379
"195",7,0.903448275862069
"196",1,0.331034482758621
"197",2,0.517241379310345
"198",3,0.303448275862069
"199",4,0.441379310344828
"200",5,0.572413793103448
"201",6,0.56551724137931
"202",7,0.855172413793103
"203",1,0.296551724137931
"204",2,0.282758620689655
"205",3,0.206896551724138
"206",4,0.379310344827586
"207",5,0.4
"208",6,0.737931034482759
"209",7,0.83448275862069
"210",1,0.572413793103448
"211",2,0.358620689655172
"212",3,0.310344827586207
"216",7,0.83448275862069
"217",1,0.503448275862069
"218",2,0.441379310344828
"219",3,0.351724137931034
"220",4,0.482758620689655
"221",5,0.496551724137931
"222",6,0.710344827586207
"223",7,0.710344827586207
"224",1,0.379310344827586
"225",2,0.206896551724138
"226",3,0.379310344827586
"227",4,0.379310344827586
"228",5,0.303448275862069
"229",6,0.696551724137931
"230",7,0.793103448275862
"231",1,0.344827586206897
"232",2,0.344827586206897
"233",3,0.227586206896552
"234",4,0.393103448275862
"235",5,0.331034482758621
"236",6,0.682758620689655
"237",7,0.882758620689655
"238",1,0.324137931034483
"239",2,0.344827586206897
"240",3,0.344827586206897
"241",4,0.420689655172414
"242",5,0.406896551724138
"243",6,0.503448275862069
"245",1,0.606896551724138
"246",2,0.2
"247",3,0.241379310344828
"248",4,0.303448275862069
"249",5,0.379310344827586
"250",6,0.586206896551724
"251",7,0.689655172413793
"252",1,0.406896551724138
"253",2,0.441379310344828
"254",3,0.468965517241379
"255",4,0.468965517241379
"256",5,0.696551724137931
"257",6,0.572413793103448
"258",7,0.744827586206897
"259",1,0.43448275862069
"260",2,0.468965517241379
"261",3,0.413793103448276
"262",4,0.43448275862069
"263",5,0.496551724137931
"264",6,0.503448275862069
"265",7,0.503448275862069
"266",1,0.358620689655172
"267",2,0.351724137931034
"268",3,0.310344827586207
"269",4,0.406896551724138
"270",5,0.310344827586207
"271",6,0.393103448275862
"272",7,0.586206896551724
"273",1,0.241379310344828
"275",3,0.275862068965517
"276",4,0.186206896551724
"277",5,0.310344827586207
"278",6,0.427586206896552
"279",7,0.337931034482759
"280",1,0.43448275862069
"281",2,0.351724137931034
"282",3,0.268965517241379
"283",4,0.179310344827586
"284",5,0.248275862068966
"285",6,0.296551724137931
"286",7,0.531034482758621
"287",1,0.213793103448276
"288",2,0.220689655172414
"289",3,0.303448275862069
"290",4,0.227586206896552
"291",5,0.23448275862069
"292",6,0.696551724137931
"293",7,0.531034482758621
"294",1,0.420689655172414
"295",2,0.268965517241379
"296",3,0.248275862068966
"297",4,0.2
"298",5,0.427586206896552
"299",6,0.317241379310345
"300",7,0.531034482758621
"301",1,0.372413793103448
"302",2,0.2
"303",3,0.158620689655172
"304",4,0.144827586206897
"306",6,0.441379310344828
"307",7,0.593103448275862
"308",1,0.393103448275862
"309",2,0.206896551724138
"310",3,0.268965517241379
"311",4,0.227586206896552
"312",5,0.241379310344828
"313",6,0.379310344827586
"314",7,0.531034482758621
"315",1,0
"316",2,0.0413793103448276
"317",3,0.110344827586207
"318",4,0.0551724137931034
"319",5,0.372413793103448
"320",6,0.386206896551724
"321",7,0.524137931034483
"322",1,0.282758620689655
"323",2,0.220689655172414
